Compound;FC ([BlancoSurrogados] vs [Control]);Log FC ([BlancoSurrogados] vs [Control]);FC (abs) ([BlancoSurrogados] vs [Control]);Regulation ([BlancoSurrogados] vs [Control]);FC ([ControlSurrogados] vs [Control]);Log FC ([ControlSurrogados] vs [Control]);FC (abs) ([ControlSurrogados] vs [Control]);Regulation ([ControlSurrogados] vs [Control]);FC ([Disolventes] vs [Control]);Log FC ([Disolventes] vs [Control]);FC (abs) ([Disolventes] vs [Control]);Regulation ([Disolventes] vs [Control]);FC ([Docusato] vs [Control]);Log FC ([Docusato] vs [Control]);FC (abs) ([Docusato] vs [Control]);Regulation ([Docusato] vs [Control]);FC ([QC] vs [Control]);Log FC ([QC] vs [Control]);FC (abs) ([QC] vs [Control]);Regulation ([QC] vs [Control]);FC ([Tetra+Docu] vs [Control]);Log FC ([Tetra+Docu] vs [Control]);FC (abs) ([Tetra+Docu] vs [Control]);Regulation ([Tetra+Docu] vs [Control]);FC ([Tetraconazol] vs [Control]);Log FC ([Tetraconazol] vs [Control]);FC (abs) ([Tetraconazol] vs [Control]);Regulation ([Tetraconazol] vs [Control]);BLANCOSURRO1_1: Log2(normalized);BLANCOSURRO1_1_neg: Log2(normalized);BLANCOSURRO1_2: Log2(normalized);BLANCOSURRO1_2_neg: Log2(normalized);BLANCOSURRO1_3: Log2(normalized);BLANCOSURRO1_3_neg: Log2(normalized);BLANCOSURRO2_1: Log2(normalized);BLANCOSURRO2_1_neg: Log2(normalized);BLANCOSURRO2_2: Log2(normalized);BLANCOSURRO2_2_neg: Log2(normalized);BLANCOSURRO2_3: Log2(normalized);BLANCOSURRO2_3_neg: Log2(normalized);BLANCOSURRO3_1: Log2(normalized);BLANCOSURRO3_1_neg: Log2(normalized);BLANCOSURRO3_2: Log2(normalized);BLANCOSURRO3_2_neg: Log2(normalized);C54_1_1: Log2(normalized);C54_1_1_neg: Log2(normalized);C54_1_2: Log2(normalized);C54_1_2_neg: Log2(normalized);C54_2_1: Log2(normalized);C54_2_1_neg: Log2(normalized);C54_2_2: Log2(normalized);C54_2_2_neg: Log2(normalized);ControlSurro_1: Log2(normalized);ControlSurro_1_neg: Log2(normalized);ControlSurro_2: Log2(normalized);ControlSurro_2_neg: Log2(normalized);ControlSurro_3: Log2(normalized);ControlSurro_3_neg: Log2(normalized);ControlSurro_4: Log2(normalized);ControlSurro_4_neg: Log2(normalized);ControlSurro_5: Log2(normalized);ControlSurro_5_neg: Log2(normalized);ControlSurro_7: Log2(normalized);ControlSurro_7_neg: Log2(normalized);ControlSurro_8: Log2(normalized);ControlSurro_8_neg: Log2(normalized);ControlSurro_9: Log2(normalized);ControlSurro_9_neg: Log2(normalized);ControlSurro_10: Log2(normalized);ControlSurro_10_neg: Log2(normalized);Disolv_1: Log2(normalized);Disolv_1_neg: Log2(normalized);Disolv_2: Log2(normalized);Disolv_2_neg: Log2(normalized);Disolv_3: Log2(normalized);Disolv_3_neg: Log2(normalized);Disolv_4: Log2(normalized);Disolv_4_neg: Log2(normalized);Disolv_5: Log2(normalized);Disolv_5_neg: Log2(normalized);Disolv_7: Log2(normalized);Disolv_7_neg: Log2(normalized);Disolv_8: Log2(normalized);Disolv_8_neg: Log2(normalized);Disolv_9: Log2(normalized);Disolv_9_neg: Log2(normalized);Disolv_10: Log2(normalized);Disolv_10_neg: Log2(normalized);D54_1_1: Log2(normalized);D54_1_1_neg: Log2(normalized);D54_1_2: Log2(normalized);D54_1_2_neg: Log2(normalized);D54_2_1: Log2(normalized);D54_2_1_neg: Log2(normalized);D54_2_2: Log2(normalized);D54_2_2_neg: Log2(normalized);D54_3_1: Log2(normalized);D54_3_1_neg: Log2(normalized);D54_3_2: Log2(normalized);D54_3_2_neg: Log2(normalized);QCTODOS1_1: Log2(normalized);QCTODOS1_1_neg: Log2(normalized);QCTODOS1_2: Log2(normalized);QCTODOS1_2_neg: Log2(normalized);QCTODOS1_3: Log2(normalized);QCTODOS1_3_neg: Log2(normalized);QCTODOS2_1: Log2(normalized);QCTODOS2_1_neg: Log2(normalized);QCTODOS2_2: Log2(normalized);QCTODOS2_2_neg: Log2(normalized);QCTODOS2_3: Log2(normalized);QCTODOS2_3_neg: Log2(normalized);QCTODOS3_1: Log2(normalized);QCTODOS3_1_neg: Log2(normalized);QCTODOS3_2: Log2(normalized);QCTODOS3_2_neg: Log2(normalized);TD54_1_1: Log2(normalized);TD54_1_1_neg: Log2(normalized);TD54_1_2: Log2(normalized);TD54_1_2_neg: Log2(normalized);TD54_2_1: Log2(normalized);TD54_2_1_neg: Log2(normalized);TD54_2_2: Log2(normalized);TD54_2_2_neg: Log2(normalized);T54_1_1: Log2(normalized);T54_1_1_neg: Log2(normalized);T54_1_2: Log2(normalized);T54_1_2_neg: Log2(normalized);T54_2_1: Log2(normalized);T54_2_1_neg: Log2(normalized);T54_2_2: Log2(normalized);T54_2_2_neg: Log2(normalized);T54_3_1: Log2(normalized);T54_3_1_neg: Log2(normalized);T54_3_2: Log2(normalized);T54_3_2_neg: Log2(normalized);CAS Number;ChEBI ID;Compound Name;KEGG ID;Mass;Retention Time;HMP ID;Formula;Frequency;Ionization mode;LMP ID
C14 H19 N O2;-260,14435;-8,023169;260,14435;down;-260,14435;-8,023169;260,14435;down;-260,14435;-8,023169;260,14435;down;-13,129884;-3,7147822;13,129884;down;5,519533;2,4645462;5,519533;up;-63,93987;-5,998644;63,93987;down;-15,226954;-3,9285555;15,226954;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,904423;0;15,698461;0;16,174965;0;16,4075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,09416;0;18,243973;0;18,362505;0;0;0;0;0;20,574635;0;20,481527;0;20,43686;0;21,851492;0;21,17102;0;21,503168;0;20,970469;0;20,814268;0;16,1962;0;0;0;0;0;0;0;17,093355;0;17,129908;0;0;0;14,912094;0;0;0;0;0;;;C14 H19 N O2;;233,1409;13,067;;C14 H19 N O2;19;Esi+;
C4 H7 N;-54,3497;-5,7642;54,3497;down;-147,11143;-7,2007656;147,11143;down;-196,30524;-7,616955;196,30524;down;1,1350985;0,18281746;1,1350985;up;1,2221352;0,28940392;1,2221352;up;-1,0927685;-0,12798786;1,0927685;down;-1,1043453;-0,14319134;1,1043453;down;0;0;9,390169;0;0;0;9,273796;0;9,769837;0;9,342074;0;8,816983;0;0;0;17,179277;0;17,423822;0;17,270943;0;17,53599;0;8,076816;0;0;0;8,703903;0;0;0;9,778077;0;0;0;0;0;0;0;0;0;0;0;9,299208;0;0;0;0;0;0;0;0;0;0;0;0;0;9,768185;0;17,83844;0;18,016361;0;17,377117;0;17,655174;0;17,628801;0;17,792969;0;17,628119;0;17,931696;0;18,073996;0;17,790909;0;17,974403;0;18,016094;0;17,951313;0;18,084;0;17,111034;0;17,257267;0;16,928009;0;17,089823;0;17,554176;0;17,748304;0;16,706564;0;16,947466;0;16,621294;0;16,818945;0;;;C4 H7 N;;69,0585;1,3339998;;C4 H7 N;38;Esi+;
C16 H35 N O2;1,8717508;0,90438837;1,8717508;up;2,8626692;1,5173609;2,8626692;up;2,9340484;1,5528927;2,9340484;up;-1;0;1;down;1810,9485;10,82253;1810,9485;up;-1;0;1;down;-1;0;1;down;14,470214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,936914;0;13,375582;0;0;0;0;0;0;0;0;0;0;0;0;0;14,493917;0;0;0;13,45815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,884275;0;21,604414;0;21,434015;0;21,621683;0;21,455334;0;21,224627;0;22,10216;0;21,833975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C16 H35 N O2;;273,2635;13,576997;;C16 H35 N O2;13;Esi+;
C16 H15 N5;-56,59824;-5,8226852;56,59824;down;-56,59824;-5,8226852;56,59824;down;-56,59824;-5,8226852;56,59824;down;-2,9841688;-1,5773292;2,9841688;down;20,447834;4,353876;20,447834;up;-3,4200158;-1,774003;3,4200158;down;-8,0045;-3,0008113;8,0045;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,336506;0;0;0;15,70903;0;15,535944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,93846;0;17,736357;0;15,269455;0;0;0;20,051043;0;19,831516;0;19,791666;0;21,142303;0;20,857079;0;20,817984;0;20,272718;0;20,06067;0;16,310328;0;16,07913;0;0;0;0;0;17,041658;0;16,820827;0;0;0;0;0;0;0;0;0;;;C16 H15 N5;;277,1314;11,5390005;;C16 H15 N5;18;Esi+;
C5 H9 N O2;-334,68777;-8,386672;334,68777;down;-451,8363;-8,819656;451,8363;down;-115,125305;-6,847061;115,125305;down;1,1274267;0,17303371;1,1274267;up;1,2064843;0,27080917;1,2064843;up;-1,106762;-0,14634514;1,106762;down;-1,1047235;-0,14368534;1,1047235;down;0;0;0;0;0;0;0;0;6,84549;0;8,527477;0;9,465567;0;9,882643;0;21,048595;0;21,095348;0;21,13233;0;21,177689;0;0;0;10,303781;0;0;0;9,988685;0;10,975131;0;0;0;0;0;0;0;0;0;10,859535;0;9,060696;0;10,621136;0;7,4757338;0;10,440869;0;0;0;7,8765173;0;10,439831;0;0;0;21,656073;0;21,586037;0;21,269823;0;21,274866;0;21,493698;0;21,476854;0;21,574116;0;21,672186;0;21,687263;0;21,63676;0;21,597103;0;21,585608;0;21,797552;0;21,690289;0;20,911705;0;20,911798;0;20,74648;0;20,713217;0;21,428772;0;21,408266;0;20,599108;0;20,596308;0;20,467207;0;20,457067;0;;;C5 H9 N O2;;115,0634;1,3339045;;C5 H9 N O2;42;Esi+;
C6 H8 N3 O5;-227,58952;-7,8302903;227,58952;down;-46,641796;-5,5435514;46,641796;down;-253,2032;-7,984152;253,2032;down;1,2813343;0,35764694;1,2813343;up;1,8381383;0,87824535;1,8381383;up;1,2202793;0,28721142;1,2202793;up;1,521976;0,6059456;1,521976;up;0;0;0;0;14,5702715;0;0;0;0;0;0;0;0;0;0;0;17,74256;0;17,582304;0;17,375761;0;17,226835;0;13,9118595;0;0;0;0;0;0;0;14,569737;0;0;0;0;0;14,573411;0;14,497851;0;0;0;0;0;13,622052;0;0;0;0;0;0;0;0;0;0;0;0;0;19,974173;0;19,832638;0;16,652452;0;16,539053;0;18,161964;0;18,022676;0;19,243202;0;19,175175;0;19,14713;0;19,334253;0;19,244764;0;19,248285;0;19,344011;0;19,170033;0;16,587894;0;16,38985;0;19,70625;0;19,541155;0;19,03677;0;18,830032;0;18,447317;0;18,200443;0;18,915459;0;18,732523;0;;;C6 H8 N3 O5;;202,0452;1,2200001;;C6 H8 N3 O5;34;Esi+;
C17 H32 N6 O2;-1;0;1;down;-1;0;1;down;-1;0;1;down;-1;0;1;down;271,62332;8,085464;271,62332;up;-1;0;1;down;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,60668;0;16,033983;0;16,366835;0;17,674812;0;17,019657;0;16,210594;0;14,864331;0;14,590528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C17 H32 N6 O2;;352,2574;18,919;;C17 H32 N6 O2;8;Esi+;
beta-D-Fructofuranosyl-alpha-D-mannopyranoside;-442,42072;-8,789275;442,42072;down;-442,42072;-8,789275;442,42072;down;-442,42072;-8,789275;442,42072;down;1,0322379;0,045775414;1,0322379;up;1,0948538;0,13073826;1,0948538;up;1,0602096;0,08434963;1,0602096;up;1,1157002;0,15794945;1,1157002;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,767952;0;17,539553;0;17,630566;0;17,376133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,152784;0;17,91934;0;17,451912;0;17,208939;0;17,752935;0;17,534697;0;17,944752;0;17,77377;0;17,720913;0;17,978846;0;17,806978;0;17,791435;0;17,977497;0;17,726025;0;17,606;0;17,322624;0;18,138046;0;17,922323;0;18,154274;0;17,84996;0;17,992893;0;17,731419;0;17,967766;0;17,670385;0;;;beta-D-Fructofuranosyl-alpha-D-mannopyranoside;C18068;364,0973;1,2250001;;C12 H22 O11;28;Esi+;
C15 H17 N O2;-1;0;1;down;-1;0;1;down;-1;0;1;down;7,1970596;2,8474076;7,1970596;up;475,72495;8,893984;475,72495;up;-1;0;1;down;6,2771316;2,6501055;6,2771316;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,294136;0;16,874754;0;0;0;0;0;0;0;0;0;19,041296;0;18,580685;0;17,997103;0;17,930708;0;17,22302;0;15,626422;0;18,32512;0;17,57939;0;0;0;0;0;0;0;0;0;16,61287;0;15,188396;0;0;0;0;0;0;0;0;0;;;C15 H17 N O2;;243,125;9,206;;C15 H17 N O2;12;Esi+;
C17 H34 N9 O;-1;0;1;down;-1;0;1;down;-1;0;1;down;-1;0;1;down;231,65707;7,855847;231,65707;up;-1;0;1;down;-1;0;1;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,960182;0;15,182394;0;15,793069;0;17,416641;0;16,728493;0;15,893538;0;14,525704;0;14,193526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;C17 H34 N9 O;;380,2886;20,443;;C17 H34 N9 O;8;Esi+;
